Source,Target,Weight,Type,origine,servizi
istat,min_interno,1,Directed,ricostruita,Dati Statistici Territoriali
sogei,ade,1,Directed,ricostruita,Fatturazione Elettronica
sogei,mef,1,Directed,ricostruita,Fatturazione Elettronica
sogei,unioncamere,1,Directed,ricostruita,Fatturazione Elettronica
sogei,c_milano,1,Directed,ricostruita,Fatturazione Elettronica
sogei,c_roma,1,Directed,ricostruita,Fatturazione Elettronica
sogei,comuni_agg,1,Directed,ricostruita,Fatturazione Elettronica
pagopa,min_interno,1,Directed,ricostruita,PDND – Gestione Voucher
pagopa,inps,1,Directed,ricostruita,PDND – Gestione Voucher
pagopa,ade,1,Directed,ricostruita,PDND – Gestione Voucher
pagopa,agid,1,Directed,ricostruita,PDND – Gestione Voucher
pagopa,unioncamere,1,Directed,ricostruita,PDND – Gestione Voucher
pagopa,inail,1,Directed,ricostruita,PDND – Gestione Voucher
pagopa,anac,1,Directed,ricostruita,PDND – Gestione Voucher
pagopa,mef,1,Directed,ricostruita,PDND – Gestione Voucher
r_sicilia,r_lombardia,1,Directed,ricostruita,Consultazione Trasferimenti COT
r_sicilia,r_lazio,1,Directed,ricostruita,Consultazione Trasferimenti COT
r_sicilia,r_campania,1,Directed,ricostruita,Consultazione Trasferimenti COT
r_sicilia,mlps,1,Directed,ricostruita,Consultazione Trasferimenti COT
r_sicilia,inps,1,Directed,ricostruita,Consultazione Trasferimenti COT
r_friuli,c_milano,1,Directed,ricostruita,Consultazione Dettaglio Pratiche
r_friuli,comuni_agg,1,Directed,ricostruita,Consultazione Dettaglio Pratiche
r_friuli,r_lombardia,1,Directed,ricostruita,Consultazione Dettaglio Pratiche
pa_bolzano,istat,4,Directed,ricostruita,"Qualità Acque Fiumi; Qualità Acque Laghi; Ricerca Derivazioni d'Acqua; Ricerca Aree Nettarifere"
pa_bolzano,r_lombardia,4,Directed,ricostruita,"Qualità Acque Fiumi; Qualità Acque Laghi; Ricerca Derivazioni d'Acqua; Ricerca Aree Nettarifere"
pa_bolzano,r_friuli,2,Directed,ricostruita,"Qualità Acque Fiumi; Ricerca Derivazioni d'Acqua"
comuni_agg,inps,2,Directed,ricostruita,"WaaS – Welfare as a Service; Servizi Demografici"
comuni_agg,mlps,1,Directed,ricostruita,WaaS – Welfare as a Service
comuni_agg,agid,3,Directed,ricostruita,"Albo Pretorio Online; Amministrazione Trasparente; Protocollo Informatico"
comuni_agg,pagopa,1,Directed,ricostruita,Albo Pretorio Online
comuni_agg,unioncamere,1,Directed,ricostruita,Pratiche SUAP
comuni_agg,r_lombardia,3,Directed,ricostruita,"Pratiche SUAP; Protocollo Informatico; Dati Sensori IoT"
